LOCA	parcelle	num.tree2	num.trap	id.trap	strate	prop.trap.season	ab.colsx	sr.colsx	ab.colsxrar	sr.colsxrar	ab.colsxcom	sr.colsxcom	ab.cav	sr.cav	ab.fon	sr.fon	ab.fonspe	sr.fonspe	ab.suc	sr.suc	ab.lig	sr.lig	ab.flo	sr.flo	ab.pho	sr.pho	ab.myc	sr.myc	ab.xyl	sr.xyl	ab.sxy	sr.sxy	ab.zoo	sr.zoo	ab.cavspe	sr.cavspe	CWM_diam	CWM_canop	CWM_decay	CWM_size	FD_diam	FD_canop	FD_decay	FD_size	ab.colsxrsx	sr.colsxrsx
Vierzon	179	16	2	Vierzon162	intra.sup	1	689	74	62	7	572	64	95	17	158	20	12	3	13	4	668	70	273	24	11	2	92	11	240	23	241	20	98	17	0	0	2.43275762	1.419375907	2.77065312	9.688098694	0.494094305	0.50412115	0.893903878	0.95322698	6	5
Vierzon	179	16	3	Vierzon163	intra.inf	0.5868013	120	44	27	4	66	36	26	14	54	18	4	3	7	2	111	37	48	17	6	4	42	10	18	9	17	13	36	8	4	3	2.182416667	1.652916667	2.910833333	4.3525	0.487673104	0.69274798	0.751739235	0.422810018	1	1
Vierzon	179	16	4	Vierzon164	infra 	1	260	82	21	8	187	69	50	24	134	25	8	6	10	5	246	73	43	23	7	3	88	19	83	15	41	26	38	17	6	3	2.311153846	1.651538462	2.631346154	4.830769231	0.478128945	0.729048971	0.84087211	0.606351144	4	4
Vierzon	236	17	1	Vierzon171	supra 	0.862216604	706	68	24	6	650	58	53	19	490	19	5	3	5	3	691	64	88	23	10	1	59	9	480	18	53	17	104	23	0	0	2.306628895	1.548441926	2.349447592	4.456232295	0.171676177	0.342503592	0.650536748	0.5130913	5	5
Vierzon	236	17	2	Vierzon172	intra.sup	0.894842216	522	65	11	6	473	54	51	19	389	22	6	3	3	2	509	60	61	21	7	2	57	12	353	14	54	19	50	18	1	1	2.308793103	1.528256705	2.360019157	4.27394636	0.211188066	0.272333582	0.626499886	0.49064654	1	1
Vierzon	236	17	3	Vierzon173	intra.inf	0.848031664	519	75	30	7	429	64	59	16	390	29	12	8	7	4	498	63	68	22	9	4	88	16	300	16	65	21	54	16	3	3	2.288285164	1.53628131	2.436396917	3.752023121	0.284716949	0.329734268	0.71282725	0.357234779	1	1
Vierzon	236	17	4	Vierzon174	infra 	1	362	59	3	3	320	51	28	14	297	26	11	6	5	3	345	50	17	12	4	1	69	16	235	12	32	13	20	15	1	1	2.317928177	1.579254144	2.294972376	3.316022099	0.244478639	0.39256027	0.539030041	0.258295067	0	0
Vierzon	249	18	1	Vierzon181	supra 	1	175	41	14	3	126	34	33	7	92	15	8	3	3	2	160	37	49	12	7	1	70	10	47	13	23	9	27	7	0	0	2.202685714	1.551142857	2.653314286	3.781142857	0.422057451	0.504795554	0.826376329	0.37714147	7	4
Vierzon	249	18	2	Vierzon182	intra.sup	1	421	86	72	10	316	69	109	20	126	26	15	6	3	3	395	76	155	27	11	4	99	16	94	22	114	25	103	19	3	3	2.228646081	1.454038005	2.788669834	8.064845606	0.679191335	0.595079928	0.924032436	0.895640332	4	4
Vierzon	249	18	3	Vierzon183	intra.inf	0.71212036	121	43	9	4	90	36	44	13	36	14	5	4	1	1	109	36	42	14	5	3	26	8	25	9	35	14	28	9	4	2	2.352231405	1.578099174	3.001900826	7.51322314	0.584921008	0.660318915	0.771710601	0.883035819	1	1
Vierzon	249	18	4	Vierzon184	infra 	1	233	67	19	4	167	57	54	20	110	30	15	10	5	3	213	56	58	20	8	2	87	22	43	12	58	20	37	11	0	0	2.245793991	1.659527897	2.7672103	4.596137339	0.566553292	0.700284953	0.818212116	0.515894076	1	1
Vierzon	270	19	1	Vierzon191	supra 	1	375	71	31	7	313	58	77	15	80	20	7	5	1	1	359	64	187	22	10	3	59	13	77	24	133	17	95	13	1	1	2.327333333	1.564	2.982346667	7.950133333	0.436791494	0.608042174	0.816388463	0.819335232	6	5
Vierzon	270	19	2	Vierzon192	intra.sup	1	171	54	13	6	128	43	49	16	69	19	6	3	4	3	153	50	70	17	14	2	47	12	21	10	57	15	31	14	0	0	2.416900585	1.54619883	2.995263158	7.11871345	0.476955664	0.539066697	0.754290488	0.886357624	1	1
Vierzon	270	19	3	Vierzon193	intra.inf	0.905715539	114	36	14	2	63	30	45	17	65	18	2	2	16	3	109	32	27	9	12	3	46	10	18	7	21	9	15	6	1	1	2.444210526	1.702105263	2.977105263	4.703508772	0.574447945	0.718667313	0.789930803	0.527863217	0	0
Vierzon	270	19	4	Vierzon194	infra 	1	114	45	8	4	71	38	35	16	62	14	2	2	4	2	106	42	20	10	9	2	44	9	24	10	20	14	17	10	0	0	2.276929825	1.739561404	2.889912281	3.950877193	0.515890847	0.784366377	0.735955793	0.38430447	0	0
Vierzon	290	20	1	Vierzon201	supra 	1	196	60	13	5	169	51	38	12	77	19	12	4	0	0	174	53	70	22	10	3	56	11	48	18	35	14	47	14	2	2	2.282755102	1.446938776	2.704438776	6.451020408	0.590357854	0.451218334	0.847199951	0.742295171	4	3
Vierzon	290	20	2	Vierzon202	intra.sup	1	232	67	32	9	187	54	49	16	109	22	12	5	1	1	211	61	53	22	10	2	84	11	45	20	33	15	60	19	0	0	2.225689655	1.48125	2.520646552	5.890086207	0.60052833	0.636981626	0.835446642	0.650499797	0	0
Vierzon	290	20	3	Vierzon203	intra.inf	1	135	57	15	8	85	45	32	17	63	19	6	5	5	3	120	49	35	18	9	4	48	12	22	12	24	14	31	15	3	2	2.265777778	1.623703704	2.694296296	5.222962963	0.627401351	0.643166046	0.828136141	0.593437328	0	0
Vierzon	290	20	4	Vierzon204	infra 	1	126	49	10	5	90	41	27	10	67	21	12	4	0	0	107	44	22	10	7	1	52	12	29	13	13	8	25	15	0	0	2.241111111	1.608968254	2.645555556	5.011111111	0.641934616	0.761630363	0.791513708	0.573971751	0	0
